id,uuid,question,assessment_id,user_id,options,correct_answer,question_score,class_id,subject_id,is_synced,created_at,updated_at
1,8973bd7a-a5d8-4fb2-8db7-99463dfac44f,"What is a noun?",1,1,"[""person"", ""place"", ""thing"", ""maybe""]",person,2,2,1,0,"2023-09-18 08:58:36","2023-09-18 08:58:36"
2,9df87548-3141-423a-99f7-9ff0829834a2,"The main techniques used in accident and emergency for wound closure are",1,1,"[""Suturing, steri stripping"", ""Suturing and grafting"", ""Skin grafting"", ""Suturing, steristripping and tissue glue""]","Suturing, steristripping and tissue glue",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
3,7bddbffb-468c-4ef8-b3a9-143a282515a7,"The recent technique used in wound closure in accident and emeregency is ________ ",1,1,"[""Grafting"", ""Tissue glue "", ""Suturing"", ""Steri stripping""]","Tissue glue ",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
4,61ec2e31-b6d4-4a5c-880c-2b6238a07626,"When closing the wound, the needle should enter from the edge of the wound about _____",1,1,"[""4mm"", ""2mm"", ""6mm"", ""6cm""]",4mm,1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
5,d10c6fab-1c39-4f90-8f44-ca0ebfe659a3,"When closing the wound, the stitch should be about _______ apart ",1,1,"[""3mm"", ""5mm"", ""2.5cm"", ""4cm""]",3mm,1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
6,b70a498a-7d95-46e5-8515-f29bf2044694,"Stitches should be removed from ______ in 3 days time, ________ in 5 days time and ________ in 7 days time ",1,1,"[""Face, scalp, elsewhere "", ""Scalp, face, elsewhere "", ""eEsewhere, face, scalp"", ""Arm, face, elsewhere ""]","Face, scalp, elsewhere ",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
7,67450e95-f1cb-413c-8ea1-8fe2b30ddfea,"The purpose of administration of IV fluidss include the following except ",1,1,"[""To provide glucose necessary for metabolism "", ""To provide wayer solube vitamins and mineral"", ""To administer medications"", ""To administer acidic juice""]","To administer acidic juice",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
8,1972aad5-dedb-44f3-a11b-377d5babc77c,"Principles to be applied throughout preparation and administration of IV fluids include ________",1,1,"[""Adhered to aseptic technique throughout all intravenous procedures "", ""Replace all tubing when the vascular device is replaced  "", ""Replace solution administration sets and stopcocks used for continuous infusions every 72 hours unless clinically indicated "", ""All of the above""]","All of the above",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
9,b7f64439-b4a7-45c5-a299-a865e6ac5c9c,"All solution sets used for intermittent infusions should be ______",1,1,"[""Discarded immediately after use"", ""Allowed to hang for reuse"", ""Sterilize for reuse"", ""Soak in antiseptic for use""]","Discarded immediately after use",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
10,aef7ccd0-3cf9-46c8-9e74-917d5aea2252,"Three methods of administering intravenous drugs includes all except",1,1,"[""Continuous infusion"", ""Intermittent infusion"", ""Prolonged intermittent infusion"", ""Direct intermittent injection ""]","Prolonged intermittent infusion",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
11,7ad1197e-1b08-4dd8-9347-43973d6fa925,"Intravenous push or bolus is also known as ________ ",1,1,"[""Direct intermittent injection "", ""Prolong intermittent infusion "", ""Continuous infusion "", ""Intermittent infusion""]","Direct intermittent injection ",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
12,50b18e45-f42d-4991-9959-26fcbee6d895,"Direct IV injection may be used when",1,1,"[""A maximum concentration of the drug is required to vital organs"", ""Potency of the vein must be confirmed prior to adminstration and veins ability to accept an extra flow of fluid  "", ""The drug cannot be further diluted for pharmacological or therapeutic reasons"", ""All of the above""]","All of the above",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
13,8958e131-f78e-4300-a61f-ccb3b0d56e2e,"In order to commence the procedure of (IV), the following should be done except",1,1,"[""Check physician order indicating the type of solution, amount to be administered, rate of flow "", ""identify the patient"", ""Assess vital signs, skin turgor, allergy to tape or povidone-iodine"", ""Do not remove protective cover from entry point of the IV bag/bottle""]","Do not remove protective cover from entry point of the IV bag/bottle",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
14,203f1965-652f-48ef-acb5-5230908152fc,"The following should be assessed for during intravenous infusion except ",1,1,"[""Swelling"", ""Pain"", ""Coolness of surrounding skin"", ""Gastrointestinal route""]","Gastrointestinal route",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
15,6a93f748-de10-4167-90ba-0a2c97ca7240,"Relevant documentation for IV administration involves ",1,1,"[""Date and time of starting IV fluids  "", ""Amount and type of solution used"", ""Medication flow rate "", ""All of the above""]","All of the above",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
16,483cd8ab-5cf9-42d4-a4cf-ade8112ffc04,"Abscesses are commonly treated by",1,1,"[""Skin grafting"", ""Tissue glue"", ""Surgical incision and drainage "", ""Grafting""]","Surgical incision and drainage ",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
17,64cafa2a-bd89-4c1c-8d0e-a84f108ec2c0,"Abscesses are commonly treated under _____ or ______",1,1,"[""General or local anaesthesia "", ""Isopropyl or alcohol "", ""Chlorhexidine or spirit"", ""Aseptic technique or Local""]","General or local anaesthesia ",1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
